Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1880,NGC,MS,65,2075250,San Francisco,3,9,8,5,3.95,7278,2774,177903,173667,41458,39530,98444,58672,34655,73975,,
1880,PCGS,MS,64,2084730,San Francisco,1,9,9,0,0,5845,1717,187414,196947,40597,31457,98488,63936,31493,66167,,
1880,PCGS,MS,63,2295593,San Francisco,3,9,9,0.35,0,4045,1419,180597,203162,36835,35523,98534,64079,28967,79560,,
1880,NGC-CAC,MS,64,2122762,San Francisco,1,9,10,0,0,5307,1105,164593,190987,24826,24224,98565,69835,23299,74364,,
1880,NGC-CAC,MS,67,2273699,San Francisco,3,9,9,1,0.65,1178,1128,159129,159136,15610,29007,98668,47536,33102,65844,,
1880,NGC-CAC,MS,67,2270251,San Francisco,1,10,10,0,0,2757,1548,156805,197174,19857,32274,98706,75590,24832,72579,,
1880,PCGS,MS,65,2097758,San Francisco,1,9,9,1.75,0,5138,1753,178253,223420,35922,35713,98846,75874,30515,72728,,
1880,PCGS,MS,65,2183880,Carson City,2,10,10,0,0,2641,1408,175819,212440,22278,33670,98850,84664,27975,76752,,
1880,PCGS-CAC,MS,68,1888290,San Francisco,1,10,10,1.75,0,878,1359,174919,234700,18282,34339,98853,83359,30608,88392,,
1885,NGC,MS,65,2075356,Carson City,2,9,8,2.4,0,4544,2280,175967,188794,33293,36018,98913,69574,32337,77422,,
1878,NGC,MS,62,2262042,Carson City,1,9,10,0,0,5197,2563,162333,169684,28859,35084,98921,64396,24496,68206,,
1880,PCGS,MS,64,2258085,San Francisco,1,9,9,0,0,4579,2923,171189,195337,27953,35816,98923,63771,25323,66910,,
1878,NGC,MS,64,2100731,Philadelphia,3,8,9,2,0.65,1655,1966,139449,173760,22367,36899,98985,65912,17881,66861,,
1880,NGC-CAC,MS,65,2295590,San Francisco,3,8,6,3.6,3.6,4582,2193,164865,209821,42747,45559,98993,71512,29721,80756,,
1881,PCGS,MS,64,2212431,New Orleans,1,9,9,0,0,6092,3047,154157,183480,30972,39043,99019,65501,20187,80742,,
1879,NGC,MS,63,2170855,San Francisco,1,9,10,0,0,5796,1701,169710,227823,41224,43677,99025,84888,32651,78087,,
1886,PCGS,MS,65,2289662,Philadelphia,2,10,9,0,0,2414,1582,178966,205189,27778,30507,99066,67492,24770,75637,,
1878,PCGS,MS,64,2121235,Philadelphia,2,10,10,1.05,0.35,3767,1410,143400,188019,21478,30044,99075,79323,17186,75703,,
1883,PCGS-CAC,MS,65,2278065,Carson City,2,10,9,0,0,4339,1456,149952,151459,24783,28994,99153,55039,22387,62853,,
1880,ANACS-GSA,MS,63,2457114,Carson City,1,10,10,0,0,2348,1662,175537,204517,26575,34989,99190,72167,26482,76696,,
1884,PCGS,MS,63,2260547,New Orleans,3,8,5,3,0,2669,3389,163694,246934,27408,42785,99266,83809,38547,97851,,
1885,PCGS,MS,64,2093097,Philadelphia,1,9,9,0,0,4663,2397,174851,201797,25795,30552,99267,68743,25000,73717,,
1878,NGC,MS,63,1883314,Philadelphia,1,10,10,0,0,7668,3600,172656,185871,44130,36617,99280,64642,27940,76545,,
1885,PCGS,MS,62,2248021,San Francisco,1,10,10,0,0,3524,2266,170940,215860,25052,38046,99293,72409,27710,75134,,
1888,PCGS,MS,64,2045587,New Orleans,3,8,6,0.65,0,4787,2557,156497,182271,36976,33189,99384,64271,33191,78556,,
1879,PCGS,MS,64,2166413,San Francisco,1,9,9,0,0,4484,2567,177306,213008,38504,44946,99387,66302,32420,81717,,
1887,PCGS-CAC,MS,64,2120306,Philadelphia,3,8,8,2.6,0,3290,3165,175359,186948,32063,35266,99390,69387,29409,79053,,
1885,NGC,MS,64,2295611,New Orleans,2,9,10,0.35,0,2306,818,150110,197749,20225,35238,99405,70870,20836,76795,,
1883,NGC,MS,64,2234007,Carson City,2,9,9,0.35,0.65,5890,3127,167605,152561,33668,34465,99504,55890,27982,62895,,
1880,NGC,MS,63,2248531,San Francisco,1,10,10,0,0,5212,2350,174912,208455,32391,33419,99509,78832,26014,78593,,
1889,NGC,MS,66,2233459,San Francisco,1,7,9,0,0,3518,1087,145338,178749,22432,28077,99527,67010,23542,69641,,
1885,PCGS,MS,63,2260554,New Orleans,3,5,10,2.3,0,7493,2846,164556,215028,36925,38110,99533,80444,32556,81607,,
1880,NGC,MS,65,2075252,San Francisco,3,10,9,3.7,2.3,7333,6225,187422,207230,45593,51817,99552,72837,43545,88919,,
1879,PCGS-CAC,MS,63,2244222,Carson City,1,10,10,0,0,2530,1865,159009,191260,26213,32059,99590,68238,23117,67454,,
1878,NGC,MS,65,2295584,San Francisco,2,10,10,0.35,0,2567,1893,156756,186056,23595,37684,99636,72335,23915,68612,,
1883,PCGS,MS,63,2243498,New Orleans,2,9,9,0.35,0,2669,2448,144967,161891,26909,33518,99646,65380,22156,67116,,
