Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1880,PCGS-CAC,MS,68,2270281,San Francisco,1,10.0,10.0,0.0,0.0,1403,2640,167225,202085,18501,37873,109793,73148,23502,70386,,
1885,PCGS,MS,62,2248021,San Francisco,1,10.0,10.0,0.0,0.0,3524,2266,170940,215860,25052,38046,99293,72409,27710,75134,,
1880,NGC,MS,65,2048769,San Francisco,1,10.0,10.0,1.75,0.0,3555,1269,188957,235275,30824,35723,115172,85010,25927,84146,,
1878,PCGS,MS,64,2287701,Carson City,2,10.0,10.0,0.35,0.35,2788,1163,163492,170982,28196,29690,112748,70721,20065,67993,,
1878,PCGS-CAC,MS,64,2121760,Carson City,1,10.0,9.0,0.0,0.0,3448,3783,192480,220738,28646,44400,113460,74143,24795,78251,,
1878,NGC-CAC,MS,64,2249134,Philadelphia,1,9.0,10.0,0.0,0.0,4605,1200,164648,222330,31483,34851,98282,78415,19606,81491,,
1883,PCGS,MS,65,2163341,Carson City,1,10.0,10.0,0.0,0.0,1735,1691,194169,235997,20407,37464,116740,88618,28873,82074,,
1898,PCGS,MS,63,2224468,San Francisco,1,10.0,10.0,0.0,0.0,2643,1755,187128,211198,23235,30701,116229,73390,29025,79970,,
1881,PCGS,MS,64,2420875,New Orleans,2,10.0,10.0,1.75,0.0,3406,2509,185215,227091,30156,34977,124449,85277,26647,83848,,
1881,PCGS,MS,66,1854714,San Francisco,1,10.0,10.0,1.75,0.0,2068,1402,196245,244519,23244,36322,119405,85387,31273,87819,,
1884,PCGS,MS,65,1885886,New Orleans,1,10.0,9.0,0.0,0.0,1360,2611,174937,196656,18661,37648,106001,68816,27722,77978,,
1880,PCGS,MS,63,2295593,San Francisco,3,9.0,9.0,0.35,0.0,4045,1419,180597,203162,36835,35523,98534,64079,28967,79560,,
1880,PCGS,AU,55,2034067,New Orleans,1,10.0,10.0,1.75,0.35,8158,4838,218213,235335,41518,45108,126476,77752,38222,88209,,
1881,NGC,AU,58,2120280,New Orleans,1,10.0,10.0,0.0,0.0,3770,2180,198996,239555,23397,34670,123753,86957,32528,87791,,
1881,PCGS,MS,66,2032169,San Francisco,1,10.0,10.0,1.75,0.0,2220,1793,200867,229453,26414,37805,124950,76443,31120,82345,,
1882,PCGS,MS,65,2295092,Carson City,1,10.0,10.0,0.0,0.0,2154,2450,189664,235150,22561,37208,120988,85478,26428,84520,,
1885,PCGS,MS,65,2408846,San Francisco,2,9.0,8.0,1.75,1.0,2820,1782,180503,205813,31904,38223,110355,67681,31249,82507,,
1883,ICG,MS,64,2275558,Carson City,2,10.0,10.0,0.0,0.0,3346,1170,186955,215474,33431,33096,110427,80379,29752,84411,,
1883,NGC-GSA,MS,64,2054752,Carson City,1,10.0,10.0,1.75,0.0,1686,1601,188968,234552,22601,36912,111976,86574,29694,85257,,
1880,NGC,MS,65,2223438,San Francisco,1,9.0,7.0,0.0,0.0,2266,2003,167840,182760,23985,34148,103279,62275,27995,83386,,
1880,NGC,MS,65,2203903,San Francisco,1,10.0,10.0,0.0,0.0,4093,3516,169225,210904,25939,41185,106713,77724,22164,69654,,
1883,NGC,MS,60,2223448,San Francisco,3,10.0,10.0,0.0,0.0,3695,2225,186661,211040,35795,38678,114390,81820,32541,85235,,
1878,NGC,MS,61,2298984,Philadelphia,2,10.0,10.0,0.7,0.35,2133,1793,163623,195078,27056,37732,109202,79483,25195,72326,,
1886,PCGS,MS,62,2264530,San Francisco,2,10.0,10.0,0.0,0.0,4338,1682,198214,209646,33441,36696,119046,76643,28883,82335,,
1890,ANACS,MS,63,2457022,New Orleans,1,10.0,10.0,0.0,0.0,2905,2754,181715,221139,27927,38395,120281,84904,29341,81940,,
1900,PCGS,MS,65,2286268,New Orleans,2,10.0,10.0,0.0,0.0,3810,3220,185153,217255,30255,34880,122410,77905,24944,76888,,
1878,PCGS,MS,63,2016037,San Francisco,1,9.0,9.0,0.0,0.0,3206,1633,198635,228219,31168,40565,111936,73944,32563,80166,,
1890,NGC,MS,64,2285240,San Francisco,1,10.0,10.0,0.0,0.0,2843,2633,204086,227523,32282,40662,126654,80468,24560,80899,,
1900,NGC,MS,66,2273747,New Orleans,1,10.0,10.0,0.0,0.0,1619,2853,205736,237307,21932,41594,131563,86766,29206,87412,,
1885,NGC,MS,67,2382338,New Orleans,1,10.0,10.0,0.0,0.0,801,3266,176110,222615,17846,40515,126318,84290,24616,82858,,
1892,PCGS,MS,65,2291786,Carson City,1,10.0,10.0,0.0,0.0,3289,1804,176052,214296,28683,36081,106695,78193,28444,76567,,
1886,PCGS,MS,65,2296231,Philadelphia,1,10.0,10.0,0.0,0.0,1445,2719,201642,224203,21175,37327,125815,78806,24380,79297,,
1882,NGC,MS,64,2177367,New Orleans,3,6.0,10.0,1.95,0.0,6120,1392,171682,218417,30012,32393,117310,84302,24145,83427,,
1892,PCGS,MS,64,2054150,New Orleans,1,10.0,10.0,0.0,0.0,4513,2098,197789,241750,37077,34828,115696,86606,34739,86336,,
1880,NGC,MS,64,2151994,San Francisco,1,9.0,9.0,0.0,0.0,6692,3359,198139,227798,47844,43939,112927,78726,34358,78656,,
1887,ICG,MS,64,2275097,Philadelphia,3,9.0,10.0,0.35,0.35,2292,2294,160424,209893,19846,38500,100463,77344,23060,74133,,
1888,PCGS-CAC,MS,63,2234507,San Francisco,1,10.0,9.0,0.0,0.0,3675,3192,202017,196904,32112,38108,119986,66078,31358,80187,,
1889,PCGS,MS,65,1861220,San Francisco,4,8.0,9.0,3.6,3.6,4792,2395,207051,239084,41709,42032,123489,83783,35858,92530,,
1891,PCGS,MS,62,2151910,San Francisco,1,10.0,10.0,0.0,0.0,2966,2020,186815,210465,26916,32301,110895,76715,22171,73914,,
1879,NGC,MS,65,2274263,San Francisco,1,10.0,10.0,0.0,0.0,3354,1323,181736,215680,23181,33873,109575,74822,26685,79396,,
1880,PCGS-CAC,MS,63,2073640,New Orleans,2,10.0,10.0,1.75,1.65,2148,2678,181285,233078,27032,40402,117917,88338,29350,85809,,
1880,NGC,MS,65,2030653,San Francisco,4,4.0,9.0,4.35,0.0,7204,3130,243669,200148,55342,40580,133459,64407,41332,83676,,
1878,PCGS-CAC,MS,61,2252114,Philadelphia,1,10.0,9.0,0.0,0.0,6264,1708,171466,163913,38989,30770,90908,48821,33694,74968,,
1899,PCGS,MS,66,2242028,Philadelphia,2,10.0,10.0,0.0,0.0,1922,1086,178493,193244,20808,31219,115008,70982,24906,72566,,
1883,NGC-GSA,MS,65,2293751,Carson City,1,10.0,10.0,0.0,0.0,1403,1026,171475,196702,21237,31381,110520,67393,24783,78288,,
1882,PCGS,MS,67,2076180,San Francisco,3,9.0,10.0,3.7,0.0,7335,1554,232133,212503,48220,37129,128986,74472,46156,78751,,
1886,PCGS,MS,65,2076156,San Francisco,2,10.0,10.0,1.05,0.0,2402,1892,200235,218397,27753,36215,121228,79746,29607,75746,,
